Subj,Device,Ratio,Wear Time (Waist)
22,CBR,0,29.1
22,CBR,0.539229672,22.5
22,CBR,0.242574257,22.8
22,CBR,0.696930946,32.3
22,CBR,0.012173913,18.3
22,CBR,0.674922601,10.6
22,CBR,0.678107124,19.7
22,CBR,0.625089095,14
22,CBR,0.685333333,9.8
22,CBR,0.709480122,20.9
22,SCO,0.665734266,33.1
22,SCO,0.615189873,21.2
22,SCO,1.243243243,0.4
22,SCO,0.233840304,15.8
22,SCO,0.257668712,9.8
22,SCO,0.582568807,19.6
22,SCO,0.643740095,34.8
22,SCO,1.13618677,16.3
22,SCO,1.426497278,17.8
21,SCO,0.120192308,44.1
21,SCO,0.068538398,41.9
21,SCO,0.014324429,59.4
21,SCO,0.039862205,47.2
21,SCO,0.039108409,55.2
21,SCO,0.030710173,42.5
21,SCO,0.035347777,44
21,SCO,0.020256304,54
21,SCO,0,48.5
21,SCO,0.497979798,16.9
21,SCO,0,49.3
21,SCO,0,51.4
21,SCO,0.028384279,46.7
21,SCO,0,52.9
21,SCO,0.133736929,59.3
21,SCO,0,54.8
21,SCO,0,40.1
21,SCO,0,21.8
21,SCO,0,50.5
21,SCO,0,21.2
21,SCO,0,42.2
21,SCO,0.027100271,49.7
21,SCO,0,47.1
21,SCO,0,43.9
21,SCO,0,57.6
21,SCO,0,37.1
21,SCO,0,39.9
21,SCO,0,45
21,SCO,0.296918768,11.3
21,SCO,0.512820513,2.3
21,CBR,0.230567686,72
21,CBR,0,17.4
21,CBR,0,33.9
21,CBR,0.093277311,50.6
21,CBR,0.098977505,33.1
21,CBR,0,51.5
21,CBR,0.033348155,35.3
21,CBR,0,49.6
21,CBR,0,12.9
21,CBR,4.333333333,3.8
21,CBR,0.078659612,45.4
21,CBR,0.024937028,53.8
21,CBR,0,37
21,CBR,0.017123288,56.3
21,CBR,0,40.8
21,CBR,0,31.7
21,CBR,0,46.3
21,CBR,0,55.8
21,CBR,0.016453382,50.8
21,CBR,0.014725569,53.8
21,CBR,0,0.9
21,CBR,0,46
21,CBR,0,18.9
21,CBR,0.021703297,57.2
21,CBR,0.13739546,17.3
28,KAFO,0.476722533,20.8
28,KAFO,0.598742138,22.1
28,KAFO,0.357142857,1.5
28,KAFO,0.133333333,0.8
28,KAFO,0.628571429,10.8
28,KAFO,0.58985667,18.8
28,KAFO,0,0.8
28,KAFO,0.61345496,39.6
28,KAFO,0.800796813,20.1
28,KAFO,1.077151335,48.9
28,KAFO,0.616058394,21.7
28,KAFO,1.370572207,13.3
28,KAFO,1.49770291,21.4
28,KAFO,1.382632293,21.6
28,KAFO,1.36440678,23.9
28,KAFO,9,1.5
28,KAFO,1.130865485,45.1
26,KAFO,0.715851602,54.9
26,KAFO,0.828927429,64.4
26,KAFO,0.785204175,66.9
26,KAFO,0.736078246,46.7
26,KAFO,0.772912558,58.9
26,KAFO,0.785064033,57.4
26,KAFO,0.766702938,62.7
26,KAFO,1.127835052,51.3
26,KAFO,0.793134195,70.4
26,KAFO,0.78516624,51.9
26,KAFO,0.751600069,62.3
26,KAFO,0.753129549,64.6
26,KAFO,0.793087487,64.4
26,KAFO,0.781835206,60.8
26,KAFO,0.753719954,60.8
26,KAFO,0.746760895,63.1
26,KAFO,0.837866781,54.6
26,KAFO,0.884943429,59.7
26,KAFO,0.805694895,61.3
26,KAFO,0.833199679,60.8
26,KAFO,0.770496943,59.4
26,KAFO,0.931652133,59.2
26,KAFO,1.021135266,58.7
26,KAFO,1.004883463,57.5
26,KAFO,0.944289137,38.1
26,KAFO,0.792449177,63.1
26,KAFO,0.862886598,50
26,KAFO,0.82895505,62.4
26,KAFO,0.777958124,60.1
26,KAFO,0.837748344,50.7
26,KAFO,0.937320007,51.7
26,KAFO,0.944029304,55.6
26,KAFO,0.834111713,27.5
25,KAFO,0.673315104,58.3
25,KAFO,0.783007251,61.5
25,KAFO,0.853785463,53.8
25,KAFO,0.825632084,63.2
25,KAFO,0.824882829,61.1
25,KAFO,0.848766042,56.9
25,KAFO,0.798814001,61
25,KAFO,0.736718383,55.2
25,KAFO,0.688279912,48.8
25,KAFO,0.581735889,57.6
25,KAFO,0.620571183,57.1
25,KAFO,0.713454654,53.9
25,KAFO,0.7495037,53.5
25,KAFO,0.799511002,58.5
25,KAFO,0.566540881,55.6
25,KAFO,0.719158801,50.5
25,KAFO,0.639835995,47.3
25,KAFO,0.665289256,52.7
25,KAFO,0.696503969,49.9
25,KAFO,0.773820259,46
25,KAFO,0.704024649,53.9
25,KAFO,0.689303239,46.7
25,KAFO,0.628093051,50.6
25,KAFO,0.654353072,47.5
25,KAFO,0.676976609,51.1
25,KAFO,0.638510445,51.9
25,KAFO,0.717796338,47.2
25,KAFO,0.644901316,31.7
24,KAFO,0.491446345,49.7
24,KAFO,0.773834871,18.5
24,KAFO,0.552011096,64.5
24,KAFO,2.266949153,11.6
24,KAFO,0.543785851,42.2
24,KAFO,0.796472185,28.8
24,KAFO,0.619210091,43.8
24,KAFO,0.988934426,33.2
24,KAFO,0.501295642,37.5
24,KAFO,0.600090785,33
24,KAFO,0.413352273,20.9
